UF,Mes,Media_Publico,Mediana_Publico,Moda_Publico,Max_Publico,Min_Publico,Total_Publico,Desvio_Padrao,Q1,Q3,IQR
SP,GERAL,86.19,82.725,100.06,9711,0,452825835,41.323070760357126,54.5125,117.805,63.292500000000004
RJ,GERAL,93.84,92.315,109.59,6891,0,175713440,43.48527357211418,58.7,129.0125,70.31249999999999
MG,GERAL,68.66,65.78999999999999,57.44,6229,0,89407192,32.115316571980394,45.0575,91.7525,46.695
PR,GERAL,70.25,67.2,8.12,3694,0,73421121,34.86420766019018,44.29,91.93,47.64000000000001
RS,GERAL,65.84,67.39,2.0,10000,0,58849444,32.46121226451665,43.195,89.11749999999999,45.92249999999999
SC,GERAL,62.85,62.055,47.14,4192,0,46764988,28.501999951136707,43.305,81.91,38.605
BA,GERAL,85.48,80.58000000000001,49.05,6054,0,46707492,42.88867129645231,52.7475,119.16,66.4125
PE,GERAL,90.66,87.395,10.49,8555,0,46424360,39.376561432677086,61.0125,119.92999999999999,58.91749999999999
DF,GERAL,99.94,99.93,12.73,7331,0,42417929,42.60545306592968,69.28,132.8675,63.587500000000006
CE,GERAL,84.55,84.48,104.48,6283,0,39099398,38.469495038968226,54.98,111.83,56.85
GO,GERAL,66.39,64.16499999999999,34.1,5032,0,36165138,30.049138386521687,45.74,87.85,42.10999999999999
PA,GERAL,78.32,75.66499999999999,172.21,4681,0,27882298,39.82010959980278,49.515,107.69,58.175
AM,GERAL,97.26,94.36,7.0,16000,0,26548701,41.197070579229795,67.685,125.125,57.44
ES,GERAL,64.23,60.26,10.87,4111,0,23146262,28.84908041664945,42.83,83.68,40.85000000000001
MT,GERAL,80.46,80.32,4.7,2904,0,19438897,39.561132611569995,46.459999999999994,113.065,66.605
MA,GERAL,71.74,65.8,84.71,4673,0,16896869,36.8638645990698,47.045,94.33000000000001,47.28500000000001
RN,GERAL,89.75,86.52,63.41,8381,0,14148391,38.440587641427555,62.19,117.55,55.36
MS,GERAL,93.08,89.7,4.61,3791,0,13499460,44.90493475848908,60.81,125.89,65.08
PB,GERAL,71.37,65.78,10.86,14500,0,12571443,32.62897030932298,46.5325,98.32,51.787499999999994
AL,GERAL,82.69,82.31,2.0,3939,0,12357985,29.47260264192643,61.025,101.905,40.88
SE,GERAL,81.77,74.66,54.66,5030,0,9481366,39.4241844235835,50.3675,111.345,60.9775
PI,GERAL,89.27,84.9,12.54,2136,0,9344571,39.3599089388367,58.39,117.35,58.959999999999994
RO,GERAL,68.02,68.525,3.2,3529,0,7051221,34.75317684260814,38.1925,95.1575,56.964999999999996
RR,GERAL,79.32,73.61500000000001,10.43,2790,0,5051394,33.18960420029155,54.915,97.555,42.64000000000001
TO,GERAL,60.1,59.59,9.7,3422,0,4860815,27.085407799739972,39.435,78.07,38.63499999999999
AP,GERAL,67.49,63.69,17.92,4044,0,4423219,27.658161181918885,47.769999999999996,86.83500000000001,39.06500000000001
AC,GERAL,128.05,112.03999999999999,20.17,3686,0,3702172,63.902693931379275,74.8825,180.675,105.79250000000002
