UF_SALA_COMPLEXO,TITULO_BRASIL,PUBLICO
AC,DIVERTIDA MENTE 2,61564
AC,AVATAR: O CAMINHO DA ÁGUA,39510
AL,DIVERTIDA MENTE 2,219126
AL,AVATAR: O CAMINHO DA ÁGUA,109329
AM,DIVERTIDA MENTE 2,358246
AM,AVATAR: O CAMINHO DA ÁGUA,219340
AP,DIVERTIDA MENTE 2,71027
AP,AVATAR: O CAMINHO DA ÁGUA,44002
BA,DIVERTIDA MENTE 2,824002
BA,AVATAR: O CAMINHO DA ÁGUA,457166
CE,DIVERTIDA MENTE 2,788262
CE,BARBIE,378489
DF,DIVERTIDA MENTE 2,582502
DF,AVATAR: O CAMINHO DA ÁGUA,349515
ES,DIVERTIDA MENTE 2,408890
ES,AVATAR: O CAMINHO DA ÁGUA,227084
GO,DIVERTIDA MENTE 2,687625
GO,AVATAR: O CAMINHO DA ÁGUA,394657
MA,DIVERTIDA MENTE 2,288986
MA,AVATAR: O CAMINHO DA ÁGUA,168554
MG,DIVERTIDA MENTE 2,1775609
MG,AVATAR: O CAMINHO DA ÁGUA,930447
MS,DIVERTIDA MENTE 2,238004
MS,AVATAR: O CAMINHO DA ÁGUA,142790
MT,DIVERTIDA MENTE 2,266541
MT,AVATAR: O CAMINHO DA ÁGUA,196484
PA,DIVERTIDA MENTE 2,423098
PA,AVATAR: O CAMINHO DA ÁGUA,255000
PB,DIVERTIDA MENTE 2,254986
PB,BARBIE,122208
PE,DIVERTIDA MENTE 2,825808
PE,AVATAR: O CAMINHO DA ÁGUA,420677
PI,DIVERTIDA MENTE 2,169808
PI,BARBIE,83177
PR,DIVERTIDA MENTE 2,1342146
PR,AVATAR: O CAMINHO DA ÁGUA,746152
RJ,DIVERTIDA MENTE 2,2665256
RJ,BARBIE,1354448
RN,DIVERTIDA MENTE 2,242969
RN,AVATAR: O CAMINHO DA ÁGUA,118960
RO,DIVERTIDA MENTE 2,108176
RO,AVATAR: O CAMINHO DA ÁGUA,76270
RR,DIVERTIDA MENTE 2,70328
RR,AVATAR: O CAMINHO DA ÁGUA,56398
RS,DIVERTIDA MENTE 2,1074449
RS,BARBIE,585608
SC,DIVERTIDA MENTE 2,895618
SC,AVATAR: O CAMINHO DA ÁGUA,507546
SE,DIVERTIDA MENTE 2,172698
SE,BARBIE,99812
SP,DIVERTIDA MENTE 2,7576161
SP,AVATAR: O CAMINHO DA ÁGUA,3748378
TO,DIVERTIDA MENTE 2,77705
TO,AVATAR: O CAMINHO DA ÁGUA,53688
